democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
226,44,1,0.00002153,94.805,98.904
227,44,3,0.00018283,94.421,99.137
228,44,1,0.00006094,93.944,99.23
230,44,1,0.00007125,93.048,99.437
231,44,1,0.00007125,92.627,99.521
232,44,1,0.00005245,92.095,99.569
233,44,3,0.00011498,91.595,99.642
235,44,1,0.00003154,90.246,99.749
236,44,1,0.00002517,89.625,99.772
243,44,1,0.00002197,84.442,99.9
248,44,1,0.00002753,79.511,99.921
181,45,1,0.00001827,99.829,9.485
184,45,3,0.00005481,99.756,14.119
185,45,2,0.00003653,99.721,15.953
186,45,2,0.00003653,99.684,18.163
187,45,1,0.00001827,99.658,20.643
188,45,1,0.00000595,99.632,23.021
189,45,1,0.00000645,99.607,25.544
190,45,4,0.00007306,99.566,28.606
191,45,8,0.00013431,99.514,31.784
192,45,11,0.00019076,99.446,34.597
193,45,8,0.00014612,99.376,37.101
194,45,11,0.00016548,99.298,40.126
195,45,19,0.00028791,99.237,43.895
196,45,8,0.00013431,99.184,47.17
197,45,19,0.00030468,99.125,50.599
198,45,16,0.0002719,99.044,53.771
199,45,20,0.00036451,98.963,56.966
200,45,21,0.00033878,98.862,60.185
201,45,29,0.00054854,98.725,63.041
202,45,27,0.00041544,98.603,65.304
203,45,22,0.00035868,98.508,68.141
204,45,31,0.00048208,98.418,70.754
205,45,26,0.00040331,98.304,73.418
206,45,19,0.00030678,98.156,75.606
207,45,22,0.00038603,97.99,77.864
208,45,26,0.00042759,97.847,79.501
209,45,25,0.00037855,97.705,81.475
210,45,23,0.00094415,97.544,83.255
211,45,24,0.00087149,97.358,84.734
212,45,20,0.00088367,97.117,86.439
213,45,17,0.00068013,96.889,87.977
214,45,18,0.000586,96.68,89.269
215,45,17,0.00051441,96.404,90.577
216,45,15,0.00059694,96.116,91.876
217,45,12,0.00044995,95.787,92.746
218,45,9,0.00047702,95.452,93.58
219,45,12,0.00083293,95.151,94.212
220,45,3,0.00014886,94.814,94.984
221,45,10,0.00063629,94.462,95.573
222,45,11,0.00055756,93.975,96.163
223,45,4,0.00022907,93.507,96.638
224,45,3,0.00007004,93.057,97.078
225,45,4,0.00020438,92.641,97.41
226,45,2,0.0000485,92.101,97.712
227,45,3,0.00010399,91.606,97.936
228,45,4,0.00007957,90.958,98.232
229,45,2,0.0000822,90.252,98.435
230,45,3,0.00012066,89.634,98.58
231,45,1,0.00003154,89.045,98.737
233,45,2,0.00005035,87.62,99.154
234,45,2,0.00010279,86.802,99.258
237,45,1,0.00002517,84.445,99.526
240,45,1,0.00002753,81.721,99.71
259,45,1,0.00001254,60.363,99.933
275,45,1,0.00000923,36.279,99.989
187,46,1,0.00001827,99.384,9.713
188,46,1,0.00001827,99.307,10.842
189,46,1,0.00001827,99.252,12.734
190,46,1,0.00001827,99.191,14.365
191,46,4,0.00007306,99.144,16.298
192,46,2,0.00002472,99.059,18.698
193,46,4,0.00007307,98.985,21.324
194,46,9,0.00014776,98.887,23.206
195,46,13,0.00023665,98.764,26.36
196,46,14,0.00019992,98.634,29.172
197,46,19,0.00027923,98.539,32.691
198,46,13,0.00017038,98.451,35.061
199,46,9,0.00011518,98.33,37.537
200,46,24,0.0003797,98.19,40.915
201,46,30,0.00050099,98.034,44.438
202,46,22,0.00032541,97.885,47.518
203,46,23,0.00038231,97.743,50.948
204,46,27,0.0004154,97.612,54.311
205,46,31,0.00043918,97.423,57.318
206,46,40,0.00065876,97.194,60.509
207,46,44,0.00059884,96.953,63.371
208,46,40,0.00064703,96.741,65.718
209,46,36,0.00044663,96.452,68.636
210,46,28,0.00091674,96.192,71.198
211,46,33,0.00125834,95.873,73.801
212,46,44,0.00156905,95.555,76.011
213,46,35,0.00116154,95.25,78.179
214,46,20,0.00070756,94.857,79.846
215,46,28,0.00109059,94.549,81.68
216,46,25,0.00078132,94.042,83.447
217,46,20,0.00083162,93.56,85.016
218,46,22,0.00093958,93.107,86.589
219,46,21,0.00074947,92.688,88.133
220,46,18,0.00079103,92.142,89.401
221,46,18,0.00108907,91.665,90.752
222,46,9,0.00024953,90.975,91.98
223,46,18,0.00049249,90.28,92.891
224,46,7,0.00032914,89.656,93.729
