sim_id,weight,democratic_house_seats,democratic_aligned_senate_seats,six_state_combo,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile,conventionality_score
7814,0.000045782145,235,47,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,75.063,96.769,0.559868
7815,0.000053537139,232,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,56.601,67.488,1.425133
7816,0.000624001342,239,51,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,37.453,70.41,0.950269
7817,0.000048232545,217,41,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.31,99.739,0
7818,0.000031709604,215,48,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,87.997,51.866,0.375402
7819,0.00001826505,205,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.304,73.418,0
7820,0.00010976745,214,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,78.405,15.568,1.416484
7821,0.00008387053,216,49,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,82.348,36.242,1.416484
7822,0.000008085174,198,45,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,99.044,53.771,0.049731
7823,0.000018274969,202,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,97.885,47.518,0.815535
7824,0.000049348936,206,49,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,90.207,11.506,-1
7825,0.000512890992,242,54,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,13.734,26.874,1
7826,0.000011736139,200,47,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,97.251,23.696,0.559868
7827,0.000048232545,213,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,96.889,87.977,0
7828,0.000013654707,215,51,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,71.626,8.117,-0.856617
7829,0.000200618551,247,53,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,14.15,60.645,-0.041082
7830,0.00001826505,205,41,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.814,98.301,0
7831,0.00011957941,245,53,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,16.29,54.5,0.466215
7832,0.000061393006,220,50,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,72.412,31.009,1.466215
7833,0.000284202395,222,52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,54.775,9.599,1
7834,0.000229693947,234,53,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,29.318,21.466,-0.856617
7835,0.000642035809,227,52,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,47.75,18.431,0.950269
7836,0.000048232545,216,44,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.49,96.051,0
7837,0.000046154977,202,48,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,95.055,15.126,0
7838,0.000006451318,202,44,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,99.166,79.215,0.559868
7839,0.000039392085,233,50,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,55.33,69.941,-0.390402
7840,0.000049075221,226,47,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,83.58,89.628,0.049731
7841,0.00023268324,223,50,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,69.564,39.302,0.909187
7842,0.000063594133,230,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,73.905,87.026,0.559868
7843,0.000346392008,222,48,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,82.036,71.927,-0.466215
7844,0.000064701512,212,44,IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,98.115,93.445,0.856617
7845,0.000006451318,207,46,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,96.953,63.371,0.559868
7846,0.000132329021,241,51,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,34.634,75.471,-0.856617
7847,0.000016302198,203,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,94.758,17.163,0.559868
7848,0.000176214151,223,51,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,61.892,22.827,0.958918
7849,0.00001826505,208,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.847,79.501,0
7850,0.000072885717,219,49,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,79.012,45.799,-0.950269
7851,0.000058188523,218,49,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,80.119,42.421,0.375402
7852,0.000318393426,246,50,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,35.77,92.519,0.950269
7853,0.00011957941,248,53,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,13.625,63.457,0.466215
7854,0.000140939451,245,50,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,37.095,91.613,1
7855,0.000018392955,212,47,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,93.279,60.873,0.65068
7856,0.000057717026,213,48,IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,89.413,45.279,0.60095
7857,0.000106855382,239,48,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,63.371,95.87,0.090813
7858,0.000177399256,245,50,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,37.095,91.613,0.906347
7859,0.00002135053,212,46,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,95.555,76.011,0.049731
7860,0.000050872422,259,53,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,7.575,86.703,0.425133
7861,0.000006451318,198,43,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,99.667,82.69,0.559868
7862,0.000045791031,219,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,73.527,27.716,1.425133
7863,0.00002666597,214,50,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,78.405,15.568,-0.390402
7864,0.000040884172,234,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,62.183,84.187,0.609598
7865,0.000061393006,229,50,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,61.4,59.131,1.466215
7866,0.000162153064,233,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,55.33,69.941,1.416484
7867,0.00003324554,208,47,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,94.953,48.099,0.815535
7868,0.000069378621,219,52,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,59.016,6.352,0.425133
7869,0.000079699926,232,48,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,71.739,89.823,0.049731
7870,0.000177787375,218,49,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,80.119,42.421,0.909187
7871,0.000163286238,221,51,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,64.556,17.891,-0.134735
7872,0.000092966906,223,52,IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,53.612,10.727,-0.34932
7873,0.000595038151,223,53,IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,44.814,4.583,-0.865265
7874,0.000014708423,206,47,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,95.675,41.525,0.049731
7875,0.0001133716,220,48,IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,83.797,66.676,-1
7876,0.000048232545,215,44,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.678,95.486,0
7877,0.000132736796,224,49,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,74.305,61.807,0.090813
7878,0.00001471641,208,47,IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,94.953,48.099,0.865265
7879,0.000054376954,216,55,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,37.035,0.199,0
7880,0.000128954076,241,52,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,27.973,60.339,1.466215
7881,0.000096884523,211,48,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,90.709,38.191,0.909187
7882,0.000210133679,221,52,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,56.028,8.235,0.416484
7883,0.000206022913,238,51,IA-R_TX-R_OH-D_AK-D_ME-D_MI-D,39.037,67.945,0.958918
7884,0.000045791031,224,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,68.187,42.935,1.425133
7885,0.000174812047,215,49,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,83.282,33.542,-0.143383
7886,0.000308122779,235,53,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,28.339,23.442,0
7887,0.000284202395,218,52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,60.59,5.367,1
7888,0.000034968778,227,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,71.065,69.606,0.609598
7889,0.000209226801,224,52,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,52.218,12.579,0
7890,0.000024090542,219,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,84.715,63.875,1.425133
7891,0.000078356676,210,49,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,87.449,19.708,0.049731
7892,0.000029930607,217,52,IA-R_TX-D_OH-D_AK-D_ME-D_MI-D,62.095,4.468,1
7893,0.000222692718,219,49,IA-R_TX-R_OH-D_AK-D_ME-R_MI-R,79.012,45.799,-0.416484
7894,0.000240992763,245,51,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,29.894,83.09,0.184465
7895,0.000044332939,257,50,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,23.23,98.206,0.375402
