democratic_house_seats,democratic_aligned_senate_seats,simulation_count,probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
259,45,1,0.0001,33.065,99.935
275,45,1,0.0001,18.355,99.975
187,46,1,0.0001,96.205,8.625
188,46,1,0.0001,95.875,9.775
189,46,1,0.0001,95.505,11.115
190,46,1,0.0001,95.235,12.405
191,46,4,0.0004,94.82,14.18
192,46,2,0.0002,94.42,15.75
193,46,4,0.0004,93.93,17.79
194,46,9,0.0009,93.415,19.885
195,46,13,0.0013,92.745,22.145
196,46,14,0.0014,92.22,24.87
197,46,19,0.0019,91.675,27.625
198,46,13,0.0013,91.095,29.915
199,46,9,0.0009,90.555,33.055
200,46,24,0.0024,90.02,36.03
201,46,30,0.003,89.39,38.99
202,46,22,0.0022,88.71,42.43
203,46,23,0.0023,88.105,45.425
204,46,27,0.0027,87.445,48.375
205,46,31,0.0031,86.735,51.305
206,46,40,0.004,85.92,54.13
207,46,44,0.0044,85.09,56.74
208,46,40,0.004,84.25,59.71
209,46,36,0.0036,83.44,62.6
210,46,28,0.0028,82.43,65.26
211,46,33,0.0033,81.485,67.875
212,46,44,0.0044,80.48,70.29
213,46,35,0.0035,79.395,72.535
214,46,20,0.002,78.62,74.78
215,46,28,0.0028,77.44,77.04
216,46,25,0.0025,76.355,79.025
217,46,20,0.002,75.46,80.91
218,46,22,0.0022,74.39,82.75
219,46,21,0.0021,73.275,84.565
220,46,18,0.0018,72.25,86.3
221,46,18,0.0018,70.97,87.84
222,46,9,0.0009,69.905,89.265
223,46,18,0.0018,68.8,90.39
224,46,7,0.0007,67.505,91.395
225,46,11,0.0011,66.455,92.335
226,46,17,0.0017,65.325,93.245
227,46,9,0.0009,64.115,93.975
228,46,10,0.001,62.99,94.64
229,46,6,0.0006,61.84,95.23
230,46,6,0.0006,60.64,95.67
231,46,5,0.0005,59.365,96.235
232,46,4,0.0004,58.32,96.68
233,46,2,0.0002,57.04,97.03
234,46,5,0.0005,55.635,97.365
235,46,2,0.0002,54.46,97.68
237,46,1,0.0001,51.905,98.245
238,46,1,0.0001,50.675,98.445
239,46,1,0.0001,49.555,98.625
240,46,1,0.0001,48.365,98.825
243,46,1,0.0001,44.975,99.165
246,46,2,0.0002,41.22,99.44
250,46,1,0.0001,36.745,99.645
252,46,1,0.0001,34.075,99.705
258,46,1,0.0001,27.925,99.855
186,47,2,0.0002,94.4,3.23
188,47,1,0.0001,93.365,4.405
190,47,1,0.0001,92.145,5.715
192,47,3,0.0003,91.015,7.635
193,47,2,0.0002,90.5,8.61
194,47,5,0.0005,89.875,9.745
195,47,8,0.0008,89.2,11.07
196,47,8,0.0008,88.56,12.36
197,47,14,0.0014,87.92,14.09
198,47,9,0.0009,87.265,15.695
199,47,16,0.0016,86.5,17.69
200,47,20,0.002,85.62,19.74
201,47,18,0.0018,84.78,21.99
202,47,22,0.0022,83.94,24.69
203,47,44,0.0044,83.04,27.31
204,47,39,0.0039,82.095,29.655
205,47,45,0.0045,81.095,32.785
206,47,42,0.0042,80.05,35.7
207,47,32,0.0032,79.06,38.68
208,47,55,0.0055,78.245,42.045
209,47,44,0.0044,77.08,45.09
210,47,46,0.0046,76,48.01
211,47,39,0.0039,75.165,50.955
212,47,41,0.0041,74.075,53.725
213,47,32,0.0032,73.01,56.36
214,47,50,0.005,71.91,59.26
215,47,31,0.0031,70.725,62.265
216,47,40,0.004,69.66,64.92
217,47,46,0.0046,68.48,67.48
218,47,31,0.0031,67.315,69.915
219,47,27,0.0027,66.265,72.225
220,47,27,0.0027,65.105,74.545
221,47,24,0.0024,63.95,76.78
222,47,23,0.0023,62.825,78.785
223,47,26,0.0026,61.68,80.68
224,47,20,0.002,60.51,82.54
225,47,19,0.0019,59.245,84.365
226,47,18,0.0018,58.21,86.12
227,47,19,0.0019,56.935,87.655
228,47,19,0.0019,55.515,89.125
229,47,8,0.0008,54.41,90.26
230,47,10,0.001,53.07,91.31
231,47,8,0.0008,51.86,92.24
232,47,6,0.0006,50.64,93.13
233,47,6,0.0006,49.52,93.9
234,47,6,0.0006,48.33,94.56
235,47,6,0.0006,47.33,95.17
236,47,4,0.0004,46.27,95.62
237,47,7,0.0007,44.935,96.175
238,47,2,0.0002,43.82,96.65
239,47,4,0.0004,42.58,97
240,47,3,0.0003,41.195,97.325
241,47,4,0.0004,40.13,97.65
242,47,4,0.0004,39.09,97.95
243,47,3,0.0003,37.825,98.225
244,47,1,0.0001,36.735,98.435
245,47,4,0.0004,35.36,98.6
247,47,1,0.0001,33.055,98.955
250,47,1,0.0001,29.765,99.245
252,47,1,0.0001,27.915,99.425
258,47,1,0.0001,22.615,99.695
260,47,2,0.0002,20.79,99.79
187,48,1,0.0001,90.485,1.275
189,48,1,0.0001,89.155,1.815
192,48,1,0.0001,87.215,3.215
193,48,1,0.0001,86.415,3.715
194,48,1,0.0001,85.515,4.395
195,48,1,0.0001,84.685,5.115
196,48,3,0.0003,83.815,5.695
197,48,6,0.0006,82.79,6.62
198,48,10,0.001,81.85,7.57
199,48,7,0.0007,80.835,8.565
200,48,13,0.0013,79.775,9.655
201,48,12,0.0012,78.84,10.97
202,48,23,0.0023,77.855,12.205
203,48,23,0.0023,76.745,13.905
204,48,13,0.0013,75.705,15.585
205,48,41,0.0041,74.765,17.405
206,48,37,0.0037,73.685,19.455
207,48,41,0.0041,72.645,21.695
208,48,42,0.0042,71.45,24.37
209,48,44,0.0044,70.35,26.87
210,48,36,0.0036,69.28,29.28
211,48,51,0.0051,67.995,32.305
212,48,45,0.0045,66.935,35.265
213,48,54,0.0054,65.86,38.25
214,48,56,0.0056,64.69,41.49
215,48,44,0.0044,63.61,44.65
216,48,42,0.0042,62.5,47.57
217,48,46,0.0046,61.32,50.53
218,48,41,0.0041,60.205,53.315
219,48,31,0.0031,58.995,56.045
220,48,39,0.0039,57.925,58.815
221,48,48,0.0048,56.6,61.87
222,48,36,0.0036,55.24,64.54
223,48,44,0.0044,54.15,67.03
224,48,33,0.0033,52.855,69.595
225,48,32,0.0032,51.66,71.93
226,48,27,0.0027,50.475,74.275
227,48,32,0.0032,49.33,76.5
228,48,14,0.0014,48.23,78.6
229,48,16,0.0016,47.22,80.47
230,48,25,0.0025,46.125,82.315
231,48,23,0.0023,44.785,84.155
232,48,17,0.0017,43.725,85.945
233,48,19,0.0019,42.465,87.465
234,48,10,0.001,41.13,88.98
235,48,9,0.0009,40.065,90.175
236,48,10,0.001,39.02,91.21
237,48,9,0.0009,37.765,92.155
238,48,14,0.0014,36.66,93.03
239,48,6,0.0006,35.31,93.84
240,48,3,0.0003,34.055,94.515
241,48,4,0.0004,33.03,95.12
242,48,5,0.0005,31.875,95.575
243,48,5,0.0005,30.865,96.115
244,48,4,0.0004,29.74,96.62
245,48,3,0.0003,28.805,96.965
246,48,3,0.0003,27.895,97.295
247,48,4,0.0004,27.02,97.61
248,48,2,0.0002,26.12,97.92
249,48,3,0.0003,25.275,98.195
250,48,1,0.0001,24.435,98.425
251,48,4,0.0004,23.52,98.56
252,48,1,0.0001,22.605,98.815
253,48,2,0.0002,21.66,98.94
254,48,1,0.0001,20.775,99.045
257,48,2,0.0002,18.34,99.31
262,48,1,0.0001,14.895,99.635
186,49,1,0.0001,87.205,0.525
191,49,1,0.0001,82.755,0.955
192,49,1,0.0001,81.795,1.155
196,49,3,0.0003,77.725,2.275
197,49,2,0.0002,76.62,2.68
198,49,4,0.0004,75.62,3.19
199,49,2,0.0002,74.55,3.7
200,49,3,0.0003,73.485,4.375
201,49,6,0.0006,72.41,5.08
202,49,11,0.0011,71.185,5.625
203,49,13,0.0013,70.065,6.525
204,49,14,0.0014,69.03,7.45
205,49,16,0.0016,67.66,8.45
206,49,17,0.0017,66.625,9.505
207,49,15,0.0015,65.515,10.835
208,49,18,0.0018,64.32,12
209,49,28,0.0028,63.25,13.65
210,49,37,0.0037,62.105,15.335
211,49,32,0.0032,60.93,17.04
212,49,40,0.004,59.8,19.07
213,49,34,0.0034,58.67,21.32
214,49,56,0.0056,57.45,23.88
215,49,48,0.0048,56.12,26.41
216,49,37,0.0037,54.875,28.915
217,49,58,0.0058,53.64,31.76
218,49,49,0.0049,52.445,34.795
219,49,49,0.0049,51.255,37.735
220,49,45,0.0045,50.115,40.985
221,49,47,0.0047,48.935,44.195
222,49,43,0.0043,47.945,47.145
223,49,38,0.0038,46.95,50.11
224,49,49,0.0049,45.755,52.865
225,49,31,0.0031,44.515,55.735
226,49,35,0.0035,43.465,58.445
227,49,52,0.0052,42.11,61.37
228,49,34,0.0034,40.91,64.19
229,49,23,0.0023,39.905,66.695
230,49,28,0.0028,38.83,69.29
231,49,16,0.0016,37.64,71.69
232,49,29,0.0029,36.445,73.995
233,49,22,0.0022,35.17,76.23
234,49,15,0.0015,33.965,78.455
235,49,24,0.0024,32.89,80.27
236,49,20,0.002,31.75,82.09
237,49,21,0.0021,30.735,83.935
238,49,20,0.002,29.62,85.76
239,49,19,0.0019,28.695,87.275
240,49,17,0.0017,27.795,88.845
241,49,16,0.0016,26.92,90.05
242,49,5,0.0005,26.085,91.135
243,49,8,0.0008,25.22,92.07
244,49,5,0.0005,24.405,92.935
245,49,4,0.0004,23.48,93.79
246,49,8,0.0008,22.56,94.46
247,49,5,0.0005,21.625,95.075
248,49,1,0.0001,20.765,95.545
249,49,3,0.0003,20.045,96.075
250,49,3,0.0003,19.245,96.585
251,49,6,0.0006,18.3,96.92
252,49,5,0.0005,17.625,97.255
253,49,1,0.0001,16.945,97.585
255,49,3,0.0003,15.575,98.165
256,49,3,0.0003,14.875,98.405
257,49,1,0.0001,14.385,98.535
258,49,3,0.0003,13.725,98.795
259,49,2,0.0002,13.21,98.92
261,49,3,0.0003,12.145,99.145
262,49,1,0.0001,11.565,99.235
263,49,2,0.0002,11.07,99.29
264,49,1,0.0001,10.445,99.415
265,49,1,0.0001,9.975,99.525
271,49,1,0.0001,6.945,99.735
272,49,2,0.0002,6.59,99.77
274,49,1,0.0001,5.915,99.845
278,49,1,0.0001,4.605,99.875
189,50,1,0.0001,78.775,0.355
194,50,2,0.0002,73.46,0.67
196,50,1,0.0001,71.125,0.845
198,50,4,0.0004,68.94,1.13
200,50,2,0.0002,66.53,1.55
201,50,2,0.0002,65.43,1.8
202,50,5,0.0005,64.205,2.235
203,50,4,0.0004,63.09,2.65
204,50,5,0.0005,61.895,3.145
205,50,9,0.0009,60.725,3.645
206,50,19,0.0019,59.505,4.265
207,50,13,0.0013,58.435,4.985
208,50,11,0.0011,57.115,5.515
209,50,21,0.0021,55.775,6.355
210,50,18,0.0018,54.6,7.29
211,50,16,0.0016,53.27,8.29
212,50,21,0.0021,52.095,9.315
213,50,25,0.0025,50.885,10.635
214,50,22,0.0022,49.78,11.8
215,50,26,0.0026,48.57,13.38
216,50,25,0.0025,47.605,15.025
217,50,34,0.0034,46.59,16.71
218,50,38,0.0038,45.32,18.68
219,50,39,0.0039,44.165,20.955
220,50,57,0.0057,43.005,23.315
221,50,41,0.0041,41.645,25.965
222,50,36,0.0036,40.56,28.55
223,50,46,0.0046,39.56,31.24
224,50,50,0.005,38.44,34.3
225,50,46,0.0046,37.33,37.26
226,50,59,0.0059,36.005,40.465
227,50,53,0.0053,34.795,43.695
228,50,41,0.0041,33.685,46.725
229,50,43,0.0043,32.555,49.705
230,50,33,0.0033,31.485,52.455
231,50,31,0.0031,30.475,55.425
232,50,36,0.0036,29.34,58.09
233,50,24,0.0024,28.48,60.99
234,50,30,0.003,27.56,63.87
235,50,23,0.0023,26.725,66.465
236,50,22,0.0022,25.95,69.04
237,50,20,0.002,25.08,71.51
238,50,28,0.0028,24.24,73.71
239,50,22,0.0022,23.35,76.01
240,50,27,0.0027,22.385,78.245
241,50,21,0.0021,21.495,80.045
242,50,15,0.0015,20.685,81.915
243,50,21,0.0021,19.925,83.725
244,50,16,0.0016,19.15,85.58
245,50,8,0.0008,18.23,87.14
246,50,6,0.0006,17.57,88.73
247,50,11,0.0011,16.885,89.915
248,50,8,0.0008,16.28,91.07
249,50,10,0.001,15.51,91.98
250,50,6,0.0006,14.83,92.88
251,50,9,0.0009,14.335,93.725
252,50,6,0.0006,13.68,94.39
253,50,6,0.0006,13.17,95.02
254,50,6,0.0006,12.65,95.51
255,50,5,0.0005,12.105,96.035
256,50,3,0.0003,11.545,96.555
257,50,4,0.0004,11.04,96.87
258,50,5,0.0005,10.415,97.205
259,50,2,0.0002,9.96,97.57
260,50,3,0.0003,9.395,97.895
261,50,4,0.0004,8.98,98.13
262,50,4,0.0004,8.41,98.37
265,50,1,0.0001,6.935,98.905
267,50,1,0.0001,6.275,99.125
268,50,1,0.0001,5.905,99.225
270,50,1,0.0001,5.155,99.405
189,51,1,0.0001,72.375,0.155
195,51,1,0.0001,65.415,0.345
199,51,1,0.0001,60.675,0.615
201,51,2,0.0002,58.36,0.76
202,51,1,0.0001,57.055,0.835
204,51,4,0.0004,54.49,1.09
205,51,6,0.0006,53.16,1.24
206,51,7,0.0007,51.955,1.505
207,51,8,0.0008,50.72,1.75
208,51,11,0.0011,49.615,2.155
209,51,7,0.0007,48.405,2.595
210,51,11,0.0011,47.425,3.065
211,51,11,0.0011,46.365,3.545
212,51,13,0.0013,45.065,4.105
213,51,12,0.0012,43.91,4.86
214,51,10,0.001,42.67,5.41
215,51,17,0.0017,41.355,6.165
216,51,21,0.0021,40.275,7.095
217,51,19,0.0019,39.235,8.115
218,51,26,0.0026,38.06,9.08
219,51,27,0.0027,36.965,10.375
220,51,19,0.0019,35.615,11.595
221,51,30,0.003,34.38,13.1
222,51,27,0.0027,33.345,14.765
223,51,30,0.003,32.19,16.39
224,51,21,0.0021,31.215,18.385
225,51,35,0.0035,30.145,20.585
226,51,22,0.0022,29.05,22.92
227,51,28,0.0028,28.22,25.62
228,51,17,0.0017,27.325,28.285
229,51,31,0.0031,26.455,30.855
230,51,35,0.0035,25.665,33.875
231,51,30,0.003,24.83,36.88
232,51,30,0.003,23.95,40.02
233,51,26,0.0026,23.11,43.3
234,51,26,0.0026,22.12,46.39
235,51,37,0.0037,21.205,49.305
236,51,25,0.0025,20.485,52.165
237,51,22,0.0022,19.71,55.16
238,51,21,0.0021,18.965,57.805
239,51,19,0.0019,18.095,60.775
240,51,25,0.0025,17.415,63.595
241,51,16,0.0016,16.75,66.27
242,51,23,0.0023,16.125,68.815
243,51,19,0.0019,15.365,71.315
244,51,15,0.0015,14.725,73.495
245,51,21,0.0021,14.185,75.795
246,51,10,0.001,13.6,78.06
247,51,11,0.0011,13.085,79.885
248,51,10,0.001,12.57,81.79
249,51,12,0.0012,12.02,83.56
250,51,13,0.0013,11.465,85.435
251,51,15,0.0015,10.945,87.025
252,51,14,0.0014,10.32,88.63
253,51,8,0.0008,9.91,89.82
254,51,8,0.0008,9.34,90.99
255,51,11,0.0011,8.905,91.875
256,51,6,0.0006,8.36,92.82
257,51,7,0.0007,7.805,93.645
258,51,4,0.0004,7.38,94.34
259,51,2,0.0002,6.92,94.98
260,51,6,0.0006,6.55,95.45
261,51,3,0.0003,6.255,95.995
262,51,9,0.0009,5.855,96.495
263,51,1,0.0001,5.505,96.845
264,51,1,0.0001,5.145,97.175
265,51,2,0.0002,4.88,97.55
266,51,2,0.0002,4.59,97.87
267,51,1,0.0001,4.415,98.105
268,51,1,0.0001,4.175,98.345
269,51,3,0.0003,3.945,98.515
270,51,1,0.0001,3.615,98.775
273,51,1,0.0001,3.075,99.115
277,51,2,0.0002,2.32,99.51
280,51,1,0.0001,1.915,99.625
281,51,2,0.0002,1.71,99.68
284,51,1,0.0001,1.295,99.755
195,52,1,0.0001,58.345,0.145
200,52,1,0.0001,51.915,0.275
204,52,1,0.0001,47.365,0.515
205,52,2,0.0002,46.3,0.6
206,52,1,0.0001,44.995,0.655
207,52,2,0.0002,43.84,0.74
208,52,2,0.0002,42.61,0.82
209,52,4,0.0004,41.25,0.93
210,52,2,0.0002,40.16,1.06
211,52,2,0.0002,39.13,1.2
212,52,8,0.0008,37.89,1.43
213,52,5,0.0005,36.805,1.685
214,52,11,0.0011,35.465,2.045
215,52,12,0.0012,34.17,2.5
216,52,12,0.0012,33.15,2.95
217,52,10,0.001,31.99,3.44
218,52,21,0.0021,31.005,3.935
219,52,18,0.0018,29.88,4.71
220,52,9,0.0009,28.895,5.315
221,52,13,0.0013,28.015,6.015
222,52,15,0.0015,27.165,6.915
223,52,16,0.0016,26.22,7.94
224,52,14,0.0014,25.42,8.88
225,52,17,0.0017,24.595,10.155
226,52,18,0.0018,23.71,11.41
227,52,25,0.0025,22.855,12.825
228,52,19,0.0019,21.895,14.535
229,52,13,0.0013,20.955,16.175
230,52,25,0.0025,20.235,18.155
231,52,19,0.0019,19.505,20.315
232,52,40,0.004,18.66,22.61
233,52,23,0.0023,17.885,25.365
234,52,19,0.0019,17.195,28.105
235,52,27,0.0027,16.535,30.565
236,52,26,0.0026,15.88,33.57
237,52,18,0.0018,15.18,36.64
238,52,15,0.0015,14.575,39.795
239,52,19,0.0019,13.985,43.075
240,52,17,0.0017,13.465,46.175
241,52,16,0.0016,12.95,49.04
242,52,16,0.0016,12.44,51.96
243,52,18,0.0018,11.87,54.96
244,52,19,0.0019,11.305,57.605
245,52,19,0.0019,10.775,60.585
246,52,11,0.0011,10.195,63.415
247,52,16,0.0016,9.79,66.11
248,52,7,0.0007,9.265,68.665
249,52,15,0.0015,8.775,71.145
250,52,14,0.0014,8.26,73.35
251,52,11,0.0011,7.715,75.635
252,52,13,0.0013,7.295,77.945
253,52,7,0.0007,6.875,79.795
254,52,10,0.001,6.47,81.69
255,52,8,0.0008,6.2,83.46
256,52,10,0.001,5.76,85.32
257,52,8,0.0008,5.46,86.91
258,52,10,0.001,5.09,88.51
259,52,8,0.0008,4.83,89.74
260,52,5,0.0005,4.555,90.925
261,52,5,0.0005,4.385,91.795
262,52,5,0.0005,4.145,92.765
263,52,6,0.0006,3.9,93.58
264,52,2,0.0002,3.6,94.31
265,52,3,0.0003,3.385,94.955
266,52,2,0.0002,3.19,95.41
267,52,2,0.0002,3.06,95.97
268,52,3,0.0003,2.815,96.435
269,52,2,0.0002,2.68,96.83
270,52,1,0.0001,2.525,97.165
271,52,1,0.0001,2.305,97.535
272,52,4,0.0004,2.16,97.84
274,52,3,0.0003,1.895,98.325
275,52,1,0.0001,1.695,98.495
276,52,2,0.0002,1.53,98.76
277,52,1,0.0001,1.385,98.895
287,52,1,0.0001,0.795,99.665
200,53,1,0.0001,44.985,0.125
205,53,1,0.0001,39.115,0.225
206,53,1,0.0001,37.845,0.265
207,53,3,0.0003,36.765,0.325
208,53,2,0.0002,35.4,0.37
209,53,3,0.0003,34.095,0.455
210,53,2,0.0002,33.08,0.5
211,53,3,0.0003,31.925,0.575
212,53,1,0.0001,30.895,0.645
213,53,2,0.0002,29.78,0.72
214,53,2,0.0002,28.84,0.8
215,53,1,0.0001,27.945,0.905
216,53,4,0.0004,27.07,1.03
